codigo,fid,id,Direccion,Nombre,Estado,Nombre2,VERIFICADO,SINNOMBRE,FUNCIONAL,icon_url
"70","70",,Ambos ,No disponible ,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"71","71",,Ambos,No disponible ,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"80","80",,Ambos ,SILVIO AMARILLA,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"82","82",,Ambos,AMANECER DEL LAGO,"1",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"83","83",,Ambos,SIN NOMBRE,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"84","84",,Ambos,SIN NOMBRE,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"85","85",,Ambos,SIN NOMBRE,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"86","86",,Ambos ,SIN NOMBRE,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"87","87",,Ambos ,SIN NOMBRE,"3",AV.GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"88","88",,Ambos ,SIN NOMBRE,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"89","89",,Ambos,No disponible ,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"90","90",,Ambos ,No disponible ,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"91","91",,Ambos,SGTO. 1º TOMAS PAEZ,"2",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"92","92",,Ambos,No disponible ,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"93","93",,Ambos ,No disponible ,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"94","94",,Ambos,No disponible ,"3",AV. GUILLERMO NAUMANN,SI,VERDADERO,,./0.png
"95","95",,Ambos,PROF. NELIDA MARTINEZ ,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"97","97",,Ambos ,SAN JOSE,"3",GUILLERMO NAUMANN,SI,,,./0.png
"99","99",,Ambos,SAN MARTIN,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"100","100",,Ambos ,CARTAGENA DE INDIAS,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"101","101",,Ambos,PADRE ELIZALDE,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"102","102",,Ambos ,ROSA AMENDOLA,"3",AV. GUILLERMO NAUMANN,SI,FALSO,,./0.png
"110","110",,Ambos,CERRO CORA,"3",AV. S. OTTO SCHÄRER,SI,FALSO,,./0.png
